Lesson Name,Topic,Educational Level,URL,Current Learning Objectives,New Learning Objectives,Status
"Building Community","Community","Intermediate","https://opensource.guide/building-community/","Good overview of what good project maintenance looks like. Briefly touches on kind of everything, but isn't trying to go into real about anything.","After this lesson, the learner should be able to:
- Explain the importance of fostering an inclusive and welcoming community in open source projects
- Identify effective communication strategies for engaging with contributors and users
- Demonstrate conflict resolution techniques to maintain a healthy project environment
- Apply best practices for encouraging contributor engagement and collaboration
- Recognize the key elements that make a community sustainable and thriving","Generated"
"Leadership and Governance","Community","Advanced","https://opensource.guide/leadership-and-governance/","","After this lesson, the learner should be able to:
- Design transparent governance structures for open source projects
- Evaluate different leadership models and their applicability to various project contexts
- Create project policies that support long-term sustainability and community growth
- Demonstrate effective decision-making processes in open source communities
- Assess the impact of governance choices on project health and contributor satisfaction","Generated"
"Social Coding and Open Source Collaboration","Community, Git/Beg. VCS","Intermediate","https://coderefinery.github.io/social-coding/","","After this lesson, the learner should be able to:
- Explain the concept of social coding and its role in modern software development
- Demonstrate collaboration workflows using GitHub and other social coding platforms
- Identify norms and best practices for effective participation in open source communities
- Apply social coding tools to contribute to collaborative projects
- Recognize the benefits of community engagement in software development","Generated"
"Writing Documentation for Software Projects","Maintaining, Contributing","Intermediate","https://intersect-training.org/Documentation/","Identify the role and benefits of documentation in research and software projects.
Describe different types of documentation (e.g., README, API reference, tutorials) and their purposes.
Recognize best practices for writing clear, accessible documentation.
List tools and formats commonly used for documentation (e.g., Markdown, reStructuredText, Sphinx).
Identify strategies for keeping documentation up to date.
Recognize how to involve community members in contributing to documentation.
Describe the relationship between documentation quality and project sustainability.","After this lesson, the learner should be able to:
- Identify the role and benefits of documentation in research and software projects
- Describe different types of documentation (README, API reference, tutorials) and their purposes
- Apply best practices for writing clear, accessible, and user-friendly documentation
- Use tools and formats commonly used for documentation (Markdown, reStructuredText, Sphinx)
- Implement strategies for keeping documentation up to date and involving community contributors","Generated"
"Making Good Pull Requests","Git/Beg. VCS, Contributing","Intermediate","https://intersect-training.org/Making-Good-PRs/","Identify the purpose and workflow of a pull request (PR) in collaborative development.
Describe the key elements of a well-structured PR (e.g., clear description, relevant changes).
Recognize best practices for communicating effectively in PR discussions.
List common mistakes to avoid when submitting a PR.
Identify how to break large changes into smaller, reviewable PRs.
Describe the role of code review in improving quality and maintaining project standards.
Recognize the importance of linking PRs to related issues or documentation.","After this lesson, the learner should be able to:
- Identify the purpose and workflow of a pull request in collaborative development
- Describe the key elements of a well-structured PR (clear description, relevant changes)
- Apply best practices for communicating effectively in PR discussions
- Recognize common mistakes to avoid when submitting a PR
- Demonstrate how to break large changes into smaller, reviewable PRs","Generated"
"Issue Tracking with GitHub","Git/Beg. VCS","Intermediate","https://intersect-training.org/Issue-Tracking/","Identify the purpose of issue tracking in software and project management.
Describe common components of an issue (e.g., title, description, labels, assignee).
Recognize how to create clear, actionable issues.
List best practices for prioritizing and organizing issues.
Identify strategies for collaborating on issues within a team or community.
Describe how issue tracking supports project planning and sustainability.
Recognize the role of issue templates in standardizing contributions.","After this lesson, the learner should be able to:
- Identify the purpose of issue tracking in software and project management
- Describe common components of an issue (title, description, labels, assignee)
- Create clear, actionable issues that facilitate collaboration
- Apply best practices for prioritizing and organizing issues
- Demonstrate how issue tracking supports project planning and sustainability","Generated"
"Collaborative Git for Teams","Git/Beg. VCS, Contributing","Intermediate","https://coderefinery.github.io/git-collaborative/","","After this lesson, the learner should be able to:
- Demonstrate collaborative Git usage including branching, merging, and conflict resolution
- Apply Git workflows for team collaboration and code management
- Identify best practices for managing branches in collaborative projects
- Resolve merge conflicts effectively in team environments
- Implement Git workflows that support continuous integration and delivery","Generated"
"Collaboration in Open Research Projects","Git/Beg. VCS, Community, Research","Intermediate","https://book.the-turing-way.org/collaboration/collaboration","","After this lesson, the learner should be able to:
- Apply Git and GitHub for collaborative research and code sharing
- Demonstrate best practices for managing contributions in open science projects
- Identify strategies for fostering transparency and reproducibility in research outputs
- Implement collaborative workflows that support open science principles
- Recognize the importance of version control in research reproducibility","Generated"
" Python Packaging","Packaging, Python","Intermediate","https://carpentries-incubator.github.io/python_packaging","Identify the purpose and benefits of packaging Python code.
Describe the basic structure of a Python package (e.g., __init__.py, setup.py, pyproject.toml).
Recognize the role of metadata in package distribution.
List common tools used for packaging (e.g., setuptools, pip, build, twine).
Describe how to write and organize code for packaging.
Identify best practices for versioning and dependency management.
Recognize how to build and distribute a package to the Python Package Index (PyPI).","Identify the purpose and benefits of packaging Python code.
Describe the basic structure of a Python package (e.g., __init__.py, setup.py, pyproject.toml).
Recognize the role of metadata in package distribution.
List common tools used for packaging (e.g., setuptools, pip, build, twine).
Describe how to write and organize code for packaging.
Identify best practices for versioning and dependency management.
Recognize how to build and distribute a package to the Python Package Index (PyPI).","Existing"
"Python Packaging for Beginners","Packaging, Python","Intermediate","https://intersect-training.org/packaging/","Learn about virtual environments;
Use a task runner to manage environments and run code;
Create and install a Python package;
Create and run a test;
Learn about publishing a package on PyPI;
Learn about the basics of setting up tests;
Learn about the basics of setting up static checks;
Learn how to write reports in the form of a vignette, using R Markdown.","After this lesson, the learner should be able to:
- Create and configure virtual environments for Python projects
- Use task runners to manage environments and execute code
- Build and install a Python package from source
- Implement basic tests for Python packages
- Explain the process of publishing a package on PyPI","Generated"
"R Packaging","Packaging, R","","https://carpentries-incubator.github.io/lesson-R-packaging/","Understand what a package is; 
Understand why a package is useful;
Understand the tools used to create a package;
Install packages from other locations, such as GitHub;
Build, install and attach your own packages;
Learn how to add a license to a new R package;
Learn how to create a battery of basic tests;","After this lesson, the learner should be able to:
- Understand what an R package is and why it is useful for code organization
- Identify the tools used to create and manage R packages
- Build, install, and attach custom R packages
- Apply licensing best practices to new R packages
- Create a battery of basic tests for R package validation","Generated"
"Introduction to Git","Git/Beg. VCS","Beginner","https://coderefinery.github.io/git-intro/","","After this lesson, the learner should be able to:
- Explain the concept of version control and its importance in software development
- Demonstrate how to initialize and manage Git repositories
- Apply basic Git commands to track changes and manage project history
- Identify the benefits of distributed version control systems
- Use Git to collaborate on projects and maintain code history","Generated"
"How to Contribute to Open Source","Contributing","","https://opensource.guide/how-to-contribute/","","After this lesson, the learner should be able to:
- Identify the key terms and processes important for new open source contributors
- Explain the typical workflow for contributing to open source projects
- Demonstrate how to find projects that align with personal interests and skills
- Apply best practices for making first contributions to open source
- Recognize the importance of community guidelines and codes of conduct","Generated"
"Continuous Integration and Delivery with GitHub Actions","DevOps","Intermediate","https://intersect-training.org/CI-CD/","Distinguish between Continuous Integration (CI), Continuous Delivery, and Continuous Deployment.
Identify types of ""breaking changes"" in different development contexts.
Define deployment in the context of CI/CD and recognize real-world examples.
Apply CI/CD principles to automate workflows beyond code testing (e.g., notifications, data fetching).
Explain why GitHub Actions may be preferred for CI/CD in open-source projects.
Configure a basic CI pipeline using GitHub Actions for code testing and packaging.
Use a matrix strategy in CI to test across multiple Python versions and platforms.
Automate both building and publishing artifacts—like Python packages—using GitHub Actions.
Add and configure status badges to visualize CI/CD workflow health.","After this lesson, the learner should be able to:
- Distinguish between Continuous Integration (CI), Continuous Delivery, and Continuous Deployment
- Identify types of breaking changes in different development contexts
- Configure a basic CI pipeline using GitHub Actions for code testing and packaging
- Apply CI/CD principles to automate workflows beyond code testing
- Demonstrate how to use matrix strategies to test across multiple environments
- Automate building and publishing artifacts using GitHub Actions","Generated"
"CI/CD for Research Software with GitLab CI","DevOps","Intermediate","https://hsf-training.github.io/hsf-training-cicd/","","After this lesson, the learner should be able to:
- Explain the principles of CI/CD in the context of research software development
- Configure GitLab CI pipelines to automate testing and deployment
- Apply CI/CD practices to improve research software quality and reproducibility
- Demonstrate how to integrate automated testing into research workflows
- Identify best practices for CI/CD in scientific computing environments","Generated"
"Unit Testing and TDD in Python","Etc., Software Development Best Practices","Intermediate","https://intersect-training.org/testing/instructor/","Identify the purpose and benefits of testing in software development.
Describe different types of tests (e.g., unit tests, integration tests, functional tests).
Recognize common testing frameworks and tools (e.g., pytest, unittest).
List best practices for writing clear, maintainable tests.
Identify how to run tests locally and in automated environments.
Describe how testing fits into continuous integration workflows.
Recognize the role of testing in improving software quality and sustainability.","After this lesson, the learner should be able to:
- Identify the purpose and benefits of testing in software development
- Describe different types of tests (unit tests, integration tests, functional tests)
- Apply testing frameworks like pytest to write and run tests
- Demonstrate test-driven development (TDD) practices in Python
- Implement testing strategies that integrate with continuous integration workflows","Generated"
"Starting an Open Source Project","Maintaining","Beginner","https://opensource.guide/starting-a-project/","","After this lesson, the learner should be able to:
- Define the purpose and goals of a new open source project
- Identify the foundational steps for launching a successful open source project
- Apply best practices for choosing an appropriate open source license
- Demonstrate how to set up version control and create a contributor-friendly environment
- Recognize the importance of documentation and community guidelines from the start","Generated"
"Finding Users for Your Project","Maintaining","Beginner","https://opensource.guide/finding-users/","","After this lesson, the learner should be able to:
- Identify strategies to attract and grow a user base for open source projects
- Apply techniques to improve project discoverability and visibility
- Demonstrate how to engage with communities and leverage social platforms for outreach
- Recognize the importance of user feedback in project development
- Implement marketing and communication strategies for open source projects","Generated"
"Metrics","Maintaining","Intermediate","https://opensource.guide/metrics/","","After this lesson, the learner should be able to:
- Identify key metrics for evaluating open source project health and success
- Explain the importance of tracking and analyzing project activity and community growth
- Apply tools and practices to monitor project metrics effectively
- Demonstrate how to use metrics to make informed decisions about project direction
- Recognize the relationship between metrics and project sustainability","Generated"
