name,Topic,Keep?,learnerCategory,Sorting ID,Depends On,Learning Objectives,subTopic,OSPO Relevance,about,abstract,accessibilitySummary,url,oss_role,audience,author,competencyRequired,contributor,creativeWorkStatus,dateCreated,dateModified,datePublished,description,educationalLevel,hasPart,identifier,inLanguage,isPartOf,Notes,keywords,learningResourceType,license,mentions,recordedAt,teaches,timeRequired,version,workTranslation,slug,@id
Building Community,Community,Keep candidate,Building Community,1,"Readers should already be familiar with OSS as a concept, and would benefit from having experience as a contributor.","Good overview of what good project maintenance looks like. Briefly touches on kind of everything, but isn't trying to go into real about anything.",Collaboration,Core,,"Discover how to foster a strong and inclusive community around your open source project. This guide covers effective communication, conflict resolution, and strategies to encourage contributor engagement and collaboration.",,https://opensource.guide/building-community/,"Community Manager, Governance","Developers, Leaders",GitHub,,,,,,,Building a healthy community helps your project thrive. Learn how to foster collaboration and inclusivity.,Intermediate,,,"English, Bulgarian/Български, Bengali/Bangla, German/Deutsch, Greek/Ελληνικά, Spanish/Español, Persian/Farsi, Hindi, French/Français, Indonesian, Hungarian/Magyar, Italian, Japanese/日本語, Korean/한국어, Chinese (Traditional)/繁體中文, Chinese (Simplified) / 简体中文, Turkish/Türkçe, Tamil/தமிழ், Russian/Русский, Swahili, Romanian, Portuguese, Polish, Nigerian Pidgin, Dutch, Malay",Open Source Guides,,"community, collaboration, inclusivity",Guide,CC-BY-4.0,These guides are available in over 20 languages.,,Foster inclusive and engaged open source communities,,,,building-community,https://education.ucospo.net/lessons/building-community
Leadership and Governance,Community,Keep candidate,Building Community,2,Strongly recommended: 2—Building Community,,Governance,Core,,"This guide outlines effective leadership and governance models for open source projects, emphasizing the importance of transparency, decision-making processes, and creating a structure that supports long-term project sustainability.","These guides are available in over 20 languages, helping global communities learn and lead in open source.",https://opensource.guide/leadership-and-governance/,Contributor,"Leaders, Maintainers",GitHub,,,,,,,Effective leadership and governance ensure long-term success for your open source project.,Advanced,,,"English, Chinese (Traditional)/繁體中文, Chinese (Simplified) / 简体中文, Italian, Turkish/Türkçe, Hungarian/Magyar, Tamil/தமிழ், French/Français, Swahili, Hindi, Russian/Русский, Romanian, Persian/Farsi, Portuguese, Spanish/Español, Greek/Ελληνικά, Polish, German/Deutsch, Nigerian Pidgin, Bengali/Bangla, Dutch, Bulgarian/Български, Malay, Indonesian, Japanese/日本語, Korean/한국어",Open Source Guides,,"leadership, governance, project management, community",Guide,CC-BY-4.0,These guides are available in over 20 languages.,,"How to design transparent governance structures, set project policies, and lead open source communities effectively.",,,,leadership-and-governance,https://education.ucospo.net/lessons/leadership-and-governance
Social Coding and Open Source Collaboration,"Community, Git/Beg. VCS",Keep candidate,Contributing to a Project,4,Readers should already be familiar with OSS as a concept,,,Core,,"This lesson introduces the concept of social coding, covering how to collaborate effectively on open-source projects using GitHub, and how to engage with the developer community.",,https://coderefinery.github.io/social-coding/,"Community Manager, Maintainer","Researchers, Open Source Contributors, Software Developers",CodeRefinery Team,Basic understanding of Git and GitHub,,active,2021-07-10T10:00:00+00:00,2023-04-15T14:40:12+00:00,2021-08-01T14:00:00+00:00,"This lesson explores social coding and open-source collaboration using platforms like GitHub. It covers contributing to projects, community engagement, and using social coding tools for collaborative development.",Intermediate,,https://coderefinery.github.io/social-coding/,English,CodeRefinery Open Source Collaboration Series,,"social coding, GitHub, open source, collaboration, developer community",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub, https://github.com, A platform for open source collaboration",,"The student will be able to collaborate on open source projects, contribute to GitHub repositories, and engage with the developer community.",,1.0.0,,social-coding-and-open-source-collaboration,https://education.ucospo.net/lessons/social-coding-and-open-source-collaboration
Writing Documentation for Software Projects,"Maintaining, Contributing",Keep candidate,Contributing to a Project,5,Requires Python! I recommend we link to this instead: https://www.writethedocs.org/guide/writing/beginners-guide-to-docs/,"Identify the role and benefits of documentation in research and software projects.
Describe different types of documentation (e.g., README, API reference, tutorials) and their purposes.
Recognize best practices for writing clear, accessible documentation.
List tools and formats commonly used for documentation (e.g., Markdown, reStructuredText, Sphinx).
Identify strategies for keeping documentation up to date.
Recognize how to involve community members in contributing to documentation.
Describe the relationship between documentation quality and project sustainability.",,Moderate,,"This tutorial covers best practices for writing documentation in software projects. It explains how to create clear, comprehensive, and user-friendly documentation using tools like Sphinx and Markdown.",,https://intersect-training.org/Documentation/,"Contributor, Maintainer","Developers, PhD Students, Technical Writers","Intersect Team, intersect@training.org","Markdown, basic understanding of software development",,active,2022-11-10T10:10:13+00:00,2023-01-15T12:50:12+00:00,2023-02-01T12:50:12+00:00,"This lesson teaches how to write effective software documentation, including API documentation, user guides, and installation instructions.",Intermediate,http://documentation-guide.io,,English,Software Development Essentials,general but highly important to open source,"documentation, Sphinx, Markdown, API documentation",Tutorial,https://creativecommons.org/licenses/by/4.0/,"Sphinx, https://www.sphinx-doc.org, A tool for generating documentation from reStructuredText.",,The student will be able to write comprehensive documentation for software projects using Sphinx and Markdown.,,1.0.2,,writing-documentation-for-software-projects,https://education.ucospo.net/lessons/writing-documentation-for-software-projects
Making Good Pull Requests,"Git/Beg. VCS, Contributing",Keep candidate,Contributing to a Project,6,13—Intro to Git,"Identify the purpose and workflow of a pull request (PR) in collaborative development.
Describe the key elements of a well-structured PR (e.g., clear description, relevant changes).
Recognize best practices for communicating effectively in PR discussions.
List common mistakes to avoid when submitting a PR.
Identify how to break large changes into smaller, reviewable PRs.
Describe the role of code review in improving quality and maintaining project standards.
Recognize the importance of linking PRs to related issues or documentation.",,High,,"This tutorial explains how to create good pull requests (PRs) in collaborative software development. It covers best practices for writing clear PR descriptions, committing changes, and communicating with project maintainers.",,https://intersect-training.org/Making-Good-PRs/,"Contributor, Maintainer","Developers, PhD Students, Open Source Contributors","Intersect Team, intersect@training.org","Git, version control",,active,2023-05-15T12:34:13+00:00,2023-07-20T16:14:12+00:00,2023-07-20T16:14:12+00:00,This lesson covers how to create high-quality pull requests for open source projects and collaborative software development teams.,Intermediate,http://good-pr-guide.io,,English,Open Source Collaboration Series,,"Git, pull requests, version control, collaboration",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub Pull Requests, https://github.com/pull-requests, GitHub's pull request feature",,The student will be able to create clear and well-structured pull requests for software projects.,,1.2.0,,making-good-pull-requests,https://education.ucospo.net/lessons/making-good-pull-requests
Issue Tracking with GitHub,Git/Beg. VCS,Keep candidate,Contributing to a Project,7,13—Intro to Git,"Identify the purpose of issue tracking in software and project management.
Describe common components of an issue (e.g., title, description, labels, assignee).
Recognize how to create clear, actionable issues.
List best practices for prioritizing and organizing issues.
Identify strategies for collaborating on issues within a team or community.
Describe how issue tracking supports project planning and sustainability.
Recognize the role of issue templates in standardizing contributions.",,Moderate,,"This tutorial introduces issue tracking for software development, focusing on using GitHub Issues to manage bugs, features, and project milestones.",,https://intersect-training.org/Issue-Tracking/,"Contributor, Maintainer","Developers, Project Managers, PhD Students","Intersect Team, intersect@training.org","GitHub, issue tracking systems",,active,2023-02-20T08:14:13+00:00,2023-06-18T15:54:12+00:00,2023-06-18T15:54:12+00:00,"This lesson covers the basics of issue tracking for software projects, including how to create, manage, and close issues on GitHub.",Intermediate,http://issue-tracking-guide.io,,English,Software Development Essentials,,"GitHub, issue tracking, project management, bugs, features",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub Issues, https://github.com/features/issues, GitHub's issue tracking feature",,The student will be able to manage issues in a software development project using GitHub Issues.,,1.3.0,,issue-tracking-with-github,https://education.ucospo.net/lessons/issue-tracking-with-github
Collaborative Git for Teams,"Git/Beg. VCS, Contributing",Keep candidate,Contributing to a Project,8,"13—Intro to Git, 14—How to Contribute to Open Source",,,Moderate,,"This lesson covers collaborative Git usage, including branching, merging, resolving conflicts, and setting up Git workflows for team collaboration.",,https://coderefinery.github.io/git-collaborative/,"Contributor, Maintainer","Researchers, Software Developers, PhD Students",CodeRefinery Team,"Git, version control",,active,2021-06-10T10:00:00+00:00,2023-03-01T14:40:12+00:00,2021-07-01T14:00:00+00:00,"This lesson explains how to use Git for collaborative software development, focusing on advanced Git techniques such as branching, merging, and conflict resolution.",Intermediate,,https://coderefinery.github.io/git-collaborative/,English,CodeRefinery Git Training Series,Keep Candidate for Git/Beg,"Git, version control, collaboration, branching, merging",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub, https://github.com, A popular platform for hosting Git repositories",,"The student will be able to use Git collaboratively, manage branches, resolve merge conflicts, and set up Git workflows for team projects.",,1.1.0,,collaborative-git-for-teams,https://education.ucospo.net/lessons/collaborative-git-for-teams
Collaboration in Open Research Projects,"Git/Beg. VCS, Community, Research",Keep candidate,Contributing to a Project,9,"This covers literally all of the same content as we're linking to for all Community/Contributing sections and most of the Maintaining section. Should we position this as an all-in-one alternative to the other sort of piecemeal resources, or... ? ",,,Core,,"This lesson focuses on collaboration in open science and research projects, introducing best practices for working in teams, sharing code, and managing contributions using Git and GitHub.",,https://book.the-turing-way.org/collaboration/collaboration,"Maintainer, Community Manager","Researchers, Open Science Contributors, Software Developers",The Turing Way Team,"Basic understanding of Git, GitHub, and collaborative work in research",,active,2020-04-01T09:00:00+00:00,2023-05-20T14:40:12+00:00,2020-05-01T14:00:00+00:00,"This lesson introduces collaboration in open research projects, focusing on using Git and GitHub to manage contributions, foster collaboration, and ensure transparency in research outputs.",Intermediate,,https://book.the-turing-way.org/collaboration/collaboration,English,The Turing Way,,"collaboration, Git, GitHub, open science, research",Guide,https://creativecommons.org/licenses/by/4.0/,"GitHub, https://github.com, A platform for hosting and sharing research code and projects",,"The student will be able to use Git and GitHub for collaborative research, manage contributions, and follow best practices for open science.",,1.0.0,,collaboration-in-open-research-projects,https://education.ucospo.net/lessons/collaboration-in-open-research-projects
 Python Packaging,"Packaging, Python",Keep candidate,Maintaining and Sustaining Software ,10,13 - Introduction to Git | 39 - Python Basics,"Identify the purpose and benefits of packaging Python code.
Describe the basic structure of a Python package (e.g., __init__.py, setup.py, pyproject.toml).
Recognize the role of metadata in package distribution.
List common tools used for packaging (e.g., setuptools, pip, build, twine).
Describe how to write and organize code for packaging.
Identify best practices for versioning and dependency management.
Recognize how to build and distribute a package to the Python Package Index (PyPI).",,Moderate,,"This lesson teaches how to create and publish packages in Python. We assume a basic understanding of Python, and assume learners are comfortable using simple commands in a Bash shell. ",,https://carpentries-incubator.github.io/python_packaging,"Contributor, Maintainer",,The Carpentries Incubator,,,pre-alpha,,,,,Intermediate,,https://github.com/carpentries-incubator/python_packaging,,,Pre-alpha lesson. Uses Carpentries lesson template.  ,english packaging pip python,,CC-BY,,,,,,,python-packaging,https://education.ucospo.net/lessons/python-packaging
Python Packaging for Beginners,"Packaging, Python",Keep candidate,Maintaining and Sustaining Software ,11,39 - Python Basics,"Learn about virtual environments;
Use a task runner to manage environments and run code;
Create and install a Python package;
Create and run a test;
Learn about publishing a package on PyPI;
Learn about the basics of setting up tests;
Learn about the basics of setting up static checks;
Learn how to write reports in the form of a vignette, using R Markdown.",,Moderate,http://edamontology.org/topic_3316,This tutorial covers packaging Python projects for distribution. It introduces key tools such as setuptools and explains how to create packages and publish them on PyPI.,,https://intersect-training.org/packaging/,"Contributor, Maintainer","Software Developers, PhD Students","Intersect Team, intersect@training.org","Python, setuptools",,active,2023-01-04T11:24:13+00:00,2023-08-04T19:34:12+00:00,2023-08-04T19:34:12+00:00,This lesson teaches the essential steps for packaging Python projects and publishing them on PyPI.,Intermediate,http://python-packaging-tutorial.io,,English,Python for Developers Series,,"Python, setuptools, PyPI, packaging",Tutorial,https://creativecommons.org/licenses/by/4.0/,"PyPI, https://pypi.org, Python Packaging Index",,The student will be able to package Python projects and upload them to PyPI.,,1.0.0,,python-packaging-for-beginners,https://education.ucospo.net/lessons/python-packaging-for-beginners
